price,neighbourhood,latitude,longitude,property_type,bathrooms,bedrooms,beds,host_is_superhost,parking,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
199,181.0,40.7205,-73.96015,12.0,2.0,2,3,0.0,1.0,1,0,0
179,18.0,40.73813,-73.95394,5.0,1.0,1,1,0.0,0.0,0,1,0
150,42.0,40.6759099999999,-73.94715,1.0,1.5,3,3,0.0,0.0,1,0,0
79,42.0,40.66966,-73.94735,1.0,1.0,1,1,0.0,1.0,1,0,0
140,18.0,40.71055,-73.95098,1.0,1.0,1,1,0.0,1.0,1,0,0
200,10.0,40.69465,-73.95458,23.0,1.0,2,4,0.0,1.0,1,0,0
165,32.0,40.6841299999999,-73.96542,12.0,1.5,1,3,1.0,1.0,0,1,0
125,101.0,40.73877,-73.97707,1.0,1.0,1,1,0.0,0.0,1,0,0
130,101.0,40.74893,-73.99544,1.0,1.0,1,1,0.0,0.0,1,0,0
70,158.0,40.58615,-73.81245,1.0,1.0,1,1,0.0,0.0,0,1,0
100,42.0,40.67086,-73.94872,1.0,1.0,1,1,0.0,1.0,1,0,0
165,18.0,40.67539,-73.96093,1.0,1.0,3,4,0.0,0.0,1,0,0
90,80.0,40.8054,-73.95189,1.0,1.0,1,1,0.0,0.0,0,1,0
87,52.0,40.73067,-73.98702,1.0,1.0,1,1,0.0,0.0,0,1,0
85,101.0,40.79918,-73.96607,1.0,2.0,1,1,0.0,0.0,0,1,0
125,18.0,40.71109,-73.94332,1.0,1.0,2,1,0.0,0.0,1,0,0
250,18.0,40.67632,-73.97616,21.0,3.0,3,3,0.0,0.0,1,0,0
141,18.0,40.72212,-73.94254,1.0,1.0,1,2,0.0,1.0,1,0,0
375,101.0,40.72255,-73.99346,1.0,1.0,2,2,0.0,0.0,1,0,0
145,18.0,40.7194299999999,-73.9565,1.0,1.0,1,2,0.0,0.0,1,0,0
200,27.0,40.74249,-74.00329,1.0,1.0,1,1,0.0,0.0,1,0,0
95,168.0,40.79264,-73.97294,1.0,1.0,2,2,0.0,0.0,1,0,0
175,101.0,40.72831,-74.00177,1.0,1.0,1,1,0.0,0.0,1,0,0
250,101.0,40.78508,-73.9533199999999,1.0,1.0,2,2,0.0,0.0,1,0,0
250,101.0,40.7200799999999,-73.98404,1.0,1.0,3,3,0.0,1.0,1,0,0
98,181.0,40.7102,-73.94495,1.0,1.0,1,1,1.0,1.0,0,1,0
150,18.0,40.67359,-73.97904,1.0,1.0,1,1,0.0,0.0,1,0,0
130,18.0,40.72489,-73.95494,1.0,1.0,1,1,0.0,0.0,1,0,0
200,101.0,40.77724,-73.98109,1.0,1.0,1,1,0.0,0.0,1,0,0
90,18.0,40.71309,-73.94128,1.0,1.0,1,1,0.0,0.0,0,1,0
500,18.0,40.6809,-73.99233,21.0,2.5,4,5,0.0,1.0,1,0,0
350,24.0,40.68252,-73.99619,1.0,2.0,3,4,0.0,0.0,1,0,0
205,27.0,40.74342,-73.99483,1.0,1.0,1,1,1.0,1.0,1,0,0
219,128.0,40.67853,-73.98089,21.0,2.0,2,4,0.0,1.0,1,0,0
60,18.0,40.6788,-73.97643,3.0,3.0,1,4,0.0,1.0,0,1,0
250,101.0,40.80113,-73.94503,12.0,2.5,2,4,0.0,1.0,1,0,0
106,73.0,40.60452,-73.97103,1.0,1.0,1,1,1.0,0.0,1,0,0
79,80.0,40.7932,-73.9400699999999,1.0,1.0,1,1,0.0,0.0,1,0,0
170,101.0,40.80224,-73.94558,1.0,1.5,1,1,0.0,0.0,0,1,0
150,22.0,40.69055,-73.92357,1.0,1.0,2,1,0.0,0.0,1,0,0
500,75.0,40.72315,-73.95226,21.0,2.0,3,4,1.0,1.0,1,0,0
429,101.0,40.73939,-73.9961199999999,12.0,1.5,2,2,0.0,0.0,1,0,0
300,124.0,40.72133,-73.9966599999999,1.0,1.0,2,3,0.0,0.0,1,0,0
100,176.0,40.73712,-74.00166,1.0,1.0,1,1,0.0,1.0,0,1,0
250,101.0,40.73862,-73.99758,1.0,1.5,2,2,0.0,0.0,1,0,0
350,181.0,40.7158,-73.95803,1.0,1.0,3,3,0.0,0.0,1,0,0
255,27.0,40.74695,-74.00454,12.0,1.0,1,2,0.0,0.0,0,1,0
265,18.0,40.67595,-73.98053,23.0,1.0,1,1,0.0,0.0,1,0,0
190,167.0,40.7694,-73.9572,1.0,1.0,1,1,0.0,0.0,1,0,0
100,181.0,40.7093,-73.9497,1.0,1.0,1,1,0.0,1.0,0,1,0
185,18.0,40.71973,-73.9558199999999,1.0,1.0,1,1,0.0,0.0,1,0,0
100,18.0,40.67688,-73.9859,1.0,1.5,1,1,0.0,0.0,1,0,0
40,22.0,40.7005099999999,-73.92204,30.0,1.0,1,1,0.0,1.0,0,1,0
80,154.0,40.60742,-74.14388,3.0,1.0,1,1,0.0,1.0,0,1,0
100,6.0,40.61927,-74.0307,1.0,1.0,1,1,1.0,1.0,1,0,0
80,101.0,40.8078,-73.95208,1.0,1.0,1,1,0.0,0.0,0,1,0
172,18.0,40.68275,-73.96148,1.0,1.0,2,4,0.0,1.0,1,0,0
199,100.0,40.71892,-73.98401,1.0,1.0,1,1,0.0,0.0,1,0,0
250,123.0,40.72956,-73.99287,1.0,1.0,1,1,0.0,0.0,0,1,0
225,176.0,40.73507,-74.00048,1.0,1.0,2,2,0.0,0.0,1,0,0
270,101.0,40.72599,-74.00168,1.0,1.0,1,2,0.0,0.0,0,1,0
55,136.0,40.70163,-73.90867,1.0,1.0,1,2,0.0,0.0,0,1,0
160,1.0,40.72264,-73.9837,1.0,1.0,2,2,0.0,0.0,1,0,0
241,101.0,40.73268,-73.99255,23.0,1.0,1,1,0.0,0.0,1,0,0
300,28.0,40.71892,-73.99628,1.0,1.0,1,1,0.0,0.0,1,0,0
100,100.0,40.71693,-73.98948,1.0,1.0,1,1,0.0,0.0,1,0,0
80,95.0,40.66068,-73.96003,1.0,1.0,1,1,0.0,1.0,1,0,0
110,18.0,40.6922099999999,-73.95866,1.0,1.0,1,1,0.0,0.0,1,0,0
280,10.0,40.68016,-73.94878,1.0,1.0,1,1,0.0,0.0,1,0,0
85,18.0,40.67607,-73.94421,1.0,1.0,1,1,0.0,0.0,0,1,0
135,101.0,40.73834,-73.9823,1.0,1.0,1,1,0.0,0.0,1,0,0
246,176.0,40.73291,-74.00059,1.0,1.0,1,1,0.0,0.0,1,0,0
100,10.0,40.68707,-73.91918,21.0,1.0,1,1,0.0,1.0,0,1,0
150,42.0,40.67495,-73.95563,1.0,1.0,1,1,0.0,0.0,0,1,0
125,80.0,40.81068,-73.94288,12.0,1.0,1,1,0.0,1.0,0,1,0
400,80.0,40.81122,-73.94279,1.0,2.0,2,2,0.0,0.0,1,0,0
69,39.0,40.58147,-73.96726,1.0,1.0,1,1,0.0,0.0,0,1,0
349,18.0,40.73674,-73.9524699999999,5.0,1.0,1,2,0.0,0.0,0,1,0
249,18.0,40.7378299999999,-73.95259,5.0,1.0,1,2,0.0,0.0,0,1,0
299,75.0,40.73714,-73.95296,5.0,1.0,1,2,0.0,0.0,0,1,0
179,18.0,40.73731,-73.9545,5.0,1.0,1,1,0.0,0.0,0,1,0
75,136.0,40.70554,-73.76637,21.0,1.0,1,1,0.0,1.0,0,1,0
50,148.0,40.59101,-74.06685,1.0,1.5,1,1,0.0,1.0,0,1,0
125,148.0,40.59262,-74.06659,1.0,1.0,1,3,0.0,0.0,1,0,0
70,64.0,40.69142,-73.97203,1.0,1.0,1,1,0.0,0.0,1,0,0
130,10.0,40.68338,-73.95289,1.0,2.0,2,2,0.0,0.0,1,0,0
95,27.0,40.74025,-74.00161,1.0,1.0,1,1,0.0,0.0,0,1,0
375,176.0,40.7337799999999,-74.00429,1.0,2.0,2,2,0.0,1.0,1,0,0
80,100.0,40.7193,-73.98966,1.0,1.0,1,1,0.0,1.0,0,1,0
155,80.0,40.8215099999999,-73.94516,1.0,1.0,1,2,0.0,0.0,1,0,0
99,18.0,40.6711,-73.95231,1.0,1.0,1,1,1.0,1.0,0,1,0
485,101.0,40.76128,-73.96463,1.0,1.0,2,3,0.0,0.0,1,0,0
310,101.0,40.72313,-73.99438,23.0,1.0,2,2,0.0,1.0,1,0,0
110,181.0,40.7177,-73.95576,23.0,1.0,1,1,0.0,0.0,1,0,0
167,101.0,40.78304,-73.97447,1.0,1.0,1,2,1.0,1.0,1,0,0
147,64.0,40.68737,-73.97125,1.0,1.0,1,2,0.0,0.0,1,0,0
220,101.0,40.74139,-74.0005,1.0,1.0,2,3,0.0,0.0,1,0,0
65,57.0,40.7074099999999,-74.00102,1.0,1.0,1,1,1.0,0.0,0,1,0
60,90.0,40.64277,-73.97296,1.0,1.0,1,1,0.0,1.0,0,1,0
290,18.0,40.71647,-73.93974,12.0,2.0,2,2,0.0,1.0,1,0,0
